 0.045208532 0.048239436 0.043884706 0.059444662 0.061902367 
amy 0.0012734798 0.0024647887 0.0033757465 0.0044322773 0.0016895535 
scenery 6.367399E-4 7.042253E-4 7.7901845E-4 5.214444E-4 7.1895897E-4 
teaches 6.367399E-4 3.5211266E-4 7.7901845E-4 2.607222E-4 6.1111513E-4 
times 0.0012734798 0.0017605633 0.0010386913 0.0015643332 0.0028398877 
teacher 9.5510983E-4 7.042253E-4 7.7901845E-4 7.821666E-4 0.0011862823 
OF 0.0015918497 3.5211266E-4 5.1934563E-4 2.607222E-4 1.7973974E-4 
today 6.367399E-4 7.042253E-4 7.7901845E-4 7.821666E-4 0.0012581781 
working 6.367399E-4 0.0010563381 2.5967282E-4 6.518055E-4 7.9085486E-4 
ang 0.0015918497 0.0024647887 5.1934563E-4 0.0022161386 0.0017614494 
universal 3.1836994E-4 3.5211266E-4 2.5967282E-4 1.303611E-4 5.392192E-4 
timeless 3.1836994E-4 7.042253E-4 5.1934563E-4 5.214444E-4 6.470631E-4 
direction 3.1836994E-4 3.5211266E-4 0.0010386913 7.821666E-4 6.1111513E-4 
tuner 3.1836994E-4 3.5211266E-4 2.5967282E-4 2.607222E-4 1.0784384E-4 
looked 9.5510983E-4 3.5211266E-4 7.7901845E-4 6.518055E-4 2.1568769E-4 
lewis 3.1836994E-4 3.5211266E-4 0.002856401 1.303611E-4 1.0784384E-4 
cry 3.1836994E-4 7.042253E-4 7.7901845E-4 1.303611E-4 0.0010065425 
specific 3.1836994E-4 3.5211266E-4 2.5967282E-4 2.607222E-4 3.5947948E-4 
DVD 0.006367399 0.0070422534 0.010646585 0.0059966105 0.008771299 
heartwarming 3.1836994E-4 3.5211266E-4 2.5967282E-4 3.910833E-4 4.3137537E-4 
chord 3.1836994E-4 0.0010563381 2.5967282E-4 2.607222E-4 3.5947948E-4 
directing 3.1836994E-4 7.042253E-4 2.5967282E-4 6.518055E-4 3.5947948E-4 
fantastic 3.1836994E-4 3.5211266E-4 5.1934563E-4 3.910833E-4 6.470631E-4 
interested 0.0012734798 0.0010563381 0.001298364 2.607222E-4 6.1111513E-4 
caught 0.0012734798 3.5211266E-4 2.5967282E-4 1.303611E-4 2.875836E-4 
reason 0.0012734798 7.042253E-4 7.7901845E-4 0.0014339722 6.470631E-4 
thought 0.0022285897 0.0024647887 0.002596728 0.0019554165 0.0017614494 
marry 6.367399E-4 3.5211266E-4 5.1934563E-4 0.0015643332 5.392192E-4 
concert 6.367399E-4 3.5211266E-4 0.0010386913 1.303611E-4 2.5163562E-4 
flawless 3.1836994E-4 3.5211266E-4 2.5967282E-4 2.607222E-4 4.3137537E-4 
lee 0.0022285897 0.0021126762 0.0015580369 0.0022161386 0.0023006687 
decided 6.367399E-4 7.042253E-4 7.7901845E-4 3.910833E-4 2.5163562E-4 
skills 3.1836994E-4 0.0010563381 5.1934563E-4 2.607222E-4 2.875836E-4 
beautiful 9.5510983E-4 0.0014084507 0.0015580369 0.0018250555 0.0028039399 
mountain 0.0022285897 0.0014084507 0.0020773825 0.0048233606 0.0062908907 
worked 3.1836994E-4 3.5211266E-4 2.5967282E-4 2.607222E-4 5.392192E-4 
ryder 0.0012734798 0.0014084507 0.0020773825 0.0022161386 0.0023725645 
state 9.5510983E-4 3.5211266E-4 5.1934563E-4 6.518055E-4 3.2353154E-4 
events 3.1836994E-4 0.0017605633 2.5967282E-4 3.910833E-4 3.5947948E-4 
fully 3.1836994E-4 7.042253E-4 0.0010386913 5.214444E-4 5.0327124E-4 
tuning 3.1836994E-4 3.5211266E-4 2.5967282E-4 3.910833E-4 3.594795E-5 
remain 6.367399E-4 3.5211266E-4 2.5967282E-4 2.607222E-4 4.3137537E-4 
expected 0.0012734798 0.0010563381 2.5967282E-4 3.910833E-4 4.6732332E-4 
night 6.367399E-4 0.0010563381 7.7901845E-4 0.0011732499 0.0010065425 
want 0.004138809 0.0014084507 0.0031160738 0.002607222 0.002013085 
breathtaking 3.1836994E-4 3.5211266E-4 2.5967282E-4 1.303611E-4 4.3137537E-4 
drummers 3.1836994E-4 7.042253E-4 2.5967282E-4 6.518055E-4 3.5947948E-4 
slow 3.1836994E-4 0.0014084507 5.1934563E-4 1.303611E-4 3.5947948E-4 
wanted 0.0012734798 3.5211266E-4 0.001298364 0.001303611 9.3464664E-4 
reality 3.1836994E-4 0.0014084507 0.0010386913 2.607222E-4 2.1568769E-4 
choices 3.1836994E-4 3.5211266E-4 2.5967282E-4 2.607222E-4 3.9542743E-4 
feels 6.367399E-4 0.0014084507 2.5967282E-4 0.0010428888 2.875836E-4 
cut 3.1836994E-4 3.5211266E-4 0.0010386913 7.821666E-4 2.5163562E-4 
perfectly 6.367399E-4 7.042253E-4 2.5967282E-4 5.214444E-4 7.1895897E-4 
mcmurtry 3.1836994E-4 3.5211266E-4 2.5967282E-4 3.910833E-4 3.9542743E-4 
instructional 9.5510983E-4 0.0021126762 0.001298364 5.214444E-4 9.705946E-4 
students 3.1836994E-4 0.0010563381 0.0015580369 5.214444E-4 2.1568769E-4 
recommend 9.5510983E-4 0.0010563381 0.0010386913 0.0022161386 0.0017973974 
giving 9.5510983E-4 0.0010563381 0.0010386913 2.607222E-4 4.3137537E-4 
inspiring 9.5510983E-4 3.5211266E-4 2.5967282E-4 3.910833E-4 3.5947948E-4 
moment 6.367399E-4 3.5211266E-4 5.1934563E-4 3.910833E-4 7.9085486E-4 
worth 0.0012734798 0.0010563381 0.0018177096 6.518055E-4 0.0014738658 
pop 9.5510983E-4 0.0021126762 2.5967282E-4 0.0019554165 7.1895897E-4 
cried 3.1836994E-4 3.5211266E-4 2.5967282E-4 1.303611E-4 3.9542743E-4 
danes 6.367399E-4 0.0010563381 0.0018177096 0.0011732499 0.0010065425 
found 0.0015918497 0.0021126762 0.0020773825 0.0023464998 0.0014379179 
expectations 3.1836994E-4 0.0017605633 2.5967282E-4 7.821666E-4 3.2353154E-4 
takes 6.367399E-4 7.042253E-4 0.0015580369 0.0011732499 7.549069E-4 
funny 6.367399E-4 3.5211266E-4 5.1934563E-4 2.607222E-4 3.9542743E-4 
situation 6.367399E-4 3.5211266E-4 2.5967282E-4 2.607222E-4 4.3137537E-4 
kids 3.1836994E-4 3.5211266E-4 5.1934563E-4 6.518055E-4 4.3137537E-4 
art 6.367399E-4 7.042253E-4 0.001298364 2.607222E-4 7.9085486E-4 
forbidden 3.1836994E-4 3.5211266E-4 2.5967282E-4 3.910833E-4 3.9542743E-4 
boring 0.0019102197 0.0017605633 5.1934563E-4 6.518055E-4 1.0784384E-4 
classic 9.5510983E-4 0.0010563381 7.7901845E-4 0.0016946943 0.002084981 
tragedy 9.5510983E-4 0.0010563381 2.5967282E-4 1.303611E-4 6.83011E-4 
stayed 3.1836994E-4 3.5211266E-4 2.5967282E-4 1.303611E-4 5.0327124E-4 
watch 0.0019102197 0.0031690141 0.0023370553 0.002476861 0.0038823783 
TO 0.0015918497 3.5211266E-4 2.5967282E-4 1.303611E-4 0.0010065425 
feelings 6.367399E-4 3.5211266E-4 7.7901845E-4 0.0018250555 0.0014379179 
thing 0.0038204393 0.0017605633 0.0036354193 0.0022161386 0.002084981 
understood 9.5510983E-4 7.042253E-4 2.5967282E-4 6.518055E-4 1.7973974E-4 
jazz 0.0015918497 0.0014084507 2.5967282E-4 2.607222E-4 0.0016176576 
anne 6.367399E-4 7.042253E-4 5.1934563E-4 6.518055E-4 5.392192E-4 
run 6.367399E-4 0.0014084507 7.7901845E-4 3.910833E-4 2.5163562E-4 
